line_id,bus0,bus1,s_nom,v_nom,length,x,r,x0,y0,x1,y1,x_r_ratio,voltage_kv,voltage_cat
90496,2020000,2020004,173.79,138.0,0.7569725373941282,0.3294612,0.04932396,-124.094,40.8174,-124.094,40.8106,6.679401260538275,138.0,138 kV
90497,2020000,2020433,208.75,138.0,8.613847112027788,5.366027880000001,0.8904974399999999,-124.094,40.8174,-124.195,40.8054,6.025870050934622,138.0,138 kV
90498,2020002,2020001,243.64,138.0,7.77193658602053,2.23500384,0.32831856000000004,-124.203,40.6799,-124.205,40.6101,6.807403859824861,138.0,138 kV
90499,2020001,2020010,210.25,138.0,69.1969821447651,28.363371840000003,5.13692856,-124.205,40.6101,-123.749,40.0947,5.521464039697675,138.0,138 kV
90500,2020002,2020003,0.01,138.0,0.0,0.19367747999999999,0.04703868,-124.203,40.6799,-124.203,40.6799,4.117321376335893,138.0,138 kV
90501,2020002,2020532,270.21,138.0,6.882673157339446,5.922683999999999,1.27651932,-124.203,40.6799,-124.21,40.7415,4.639709926435013,138.0,138 kV
90502,2020004,2020015,194.3,138.0,47.14700101535247,16.644646440000002,2.50276248,-124.094,40.8106,-123.696,41.109,6.650507158590952,138.0,138 kV
90503,2020433,2020004,202.79,138.0,8.52973694397739,7.17711228,1.01675916,-124.195,40.8054,-124.094,40.8106,7.058805569250471,138.0,138 kV
90505,2020005,2020007,0.01,345.0,0.0,1.2735675,0.27970875,-124.134,41.9152,-124.134,41.9152,4.553175211089353,345.0,345 kV
90506,2020006,2020028,179.53,138.0,100.03456121551463,75.17580912,10.35669852,-124.134,41.9152,-122.992,41.6286,7.258664690891795,138.0,138 kV
90507,2020008,2020009,0.01,138.0,0.0,0.19977156000000001,0.051228359999999994,-124.042,41.0489,-124.042,41.0489,3.8995521318244077,138.0,138 kV
90508,2020008,2020433,170.64,138.0,30.005734925694217,7.586748719999999,0.95715144,-124.042,41.0489,-124.195,40.8054,7.926374528178604,138.0,138 kV
90509,2020010,2020011,0.01,138.0,0.0,0.21215015999999998,0.05008572,-123.749,40.0947,-123.749,40.0947,4.235656876713028,138.0,138 kV
90510,2020017,2020010,239.36,138.0,31.93568872226592,10.25766972,2.29365936,-123.564,39.8453,-123.749,40.0947,4.472183370688763,138.0,138 kV
90511,2020026,2020010,229.87,138.0,60.22962401839404,18.34565652,2.46410316,-123.289,40.5066,-123.749,40.0947,7.445162756431529,138.0,138 kV
90512,2020012,2020013,0.01,138.0,0.0,0.21234060000000002,0.04627692,-123.803,39.2883,-123.803,39.2883,4.5883782157884365,138.0,138 kV
90513,2020013,2020014,187.2,138.0,25.581100692649397,9.3963096,1.4178258,-123.803,39.2883,-123.661,39.4902,6.627261947651153,138.0,138 kV
90514,2020025,2020013,165.81,138.0,49.30066657950339,18.62236584,2.8809763200000003,-123.244,39.195,-123.803,39.2883,6.4639057415419,138.0,138 kV
90515,2020014,2020017,233.36,138.0,40.39395481994967,22.7604366,4.2708074400000005,-123.661,39.4902,-123.564,39.8453,5.329304022823369,138.0,138 kV
90516,2020014,2020019,202.73,138.0,20.04017705893858,5.804420759999999,0.8706916799999999,-123.661,39.4902,-123.436,39.4429,6.666440287519128,138.0,138 kV
90517,2020015,2020016,0.01,138.0,0.0,0.19272528,0.05579892,-123.696,41.109,-123.696,41.109,3.4538630162910624,138.0,138 kV
90518,2020017,2020018,0.01,138.0,0.0,0.21443544,0.03923064,-123.564,39.8453,-123.564,39.8453,5.465880090661518,138.0,138 kV
90519,2020019,2020020,0.01,138.0,0.0,0.19558187999999999,0.042658560000000005,-123.436,39.4429,-123.436,39.4429,4.584713953917949,138.0,138 kV
90520,2020021,2020019,179.15,138.0,24.915171533151238,8.65226052,1.19615364,-123.21,39.303,-123.436,39.4429,7.233396277257263,138.0,138 kV
90521,2020019,2020023,175.82,138.0,34.462281585971226,6.51323844,1.08855504,-123.436,39.4429,-123.219,39.1828,5.983374489383203,138.0,138 kV
90522,2020025,2020021,186.02,138.0,12.374629205836728,4.86250452,0.7836605999999999,-123.244,39.195,-123.21,39.303,6.204852349534544,138.0,138 kV
90523,2020021,2020031,185.58,138.0,28.601048794632458,9.67511376,1.3507909200000001,-123.21,39.303,-122.878,39.307,7.162549328841115,138.0,138 kV
90525,2020022,2020024,0.01,345.0,0.0,1.35331425,0.31065525,-123.219,39.1828,-123.219,39.1828,4.35630781611508,345.0,345 kV
90526,2020023,2020025,217.94,138.0,2.54893789922356,1.7413833599999997,0.27023435999999995,-123.219,39.1828,-123.244,39.195,6.443950784234898,138.0,138 kV
90527,2020029,2020023,215.17,138.0,33.270620576478905,10.678351679999999,1.8819280800000002,-122.899,39.0165,-123.219,39.1828,5.674152014272503,138.0,138 kV
90528,2020024,2020533,1234.05,345.0,193.01582590685504,104.532516,10.4004045,-123.219,39.1828,-124.21,40.7415,10.050811576529396,345.0,345 kV
90529,2020024,2021035,1142.61,345.0,94.42626553735855,40.6708425,3.6778725,-123.219,39.1828,-122.598,38.486,11.058249420487137,345.0,345 kV
90530,2020481,2020026,233.08,138.0,58.110777513033376,14.831467200000002,2.7347183999999998,-122.627,40.6469,-123.289,40.5066,5.4233963455263465,138.0,138 kV
90531,2020027,2021002,218.58,138.0,23.363327373427808,8.567324280000001,1.2441445199999999,-123.143,38.7669,-122.891,38.6934,6.8861111037879255,138.0,138 kV
90532,2020032,2020029,183.7,138.0,6.220672374781038,3.6181695599999997,0.58122288,-122.828,39.0076,-122.899,39.0165,6.2250875858713846,138.0,138 kV
90533,2020029,2020036,159.84,138.0,24.99234506697717,7.562562840000001,1.2776619599999999,-122.899,39.0165,-122.62,38.9584,5.9190593112286845,138.0,138 kV
90534,2020030,2020352,193.37,138.0,16.40443801039723,6.63740532,1.3222249200000002,-122.953,40.7654,-122.763,40.7973,5.019872337701562,138.0,138 kV
90535,2020030,2020477,177.5,138.0,43.69395044113979,8.65568844,2.12112072,-122.953,40.7654,-122.468,40.6281,4.080712746649919,138.0,138 kV
90536,2020032,2020033,0.01,138.0,0.0,0.22529052,0.050847479999999994,-122.828,39.0076,-122.828,39.0076,4.430624474910558,138.0,138 kV
90537,2020036,2020032,172.73,138.0,18.81356204462484,8.8211808,1.7691876,-122.62,38.9584,-122.828,39.0076,4.986003640312854,138.0,138 kV
90538,2020034,2020035,0.01,138.0,0.0,0.20034288,0.038278440000000004,-122.583,41.6573,-122.583,41.6573,5.233694118827234,138.0,138 kV
90539,2020038,2020034,190.04,138.0,32.00874981777125,10.777380480000001,2.3749772399999998,-122.506,41.3756,-122.583,41.6573,4.537885989220685,138.0,138 kV
90540,2020048,2020034,210.39,138.0,19.882604259662404,7.44315696,1.30222872,-122.344,41.6615,-122.583,41.6573,5.715701957716032,138.0,138 kV
90541,2020036,2020486,217.56,138.0,22.916143593930478,8.6516892,1.9047808800000001,-122.62,38.9584,-122.745,38.777,4.54208919711059,138.0,138 kV
90542,2020037,2020305,216.58,138.0,17.162170995505186,6.89335668,1.21919688,-122.636,38.72,-122.768,38.8348,5.654009733022175,138.0,138 kV
90543,2020037,2020450,240.57,138.0,10.639890724968444,3.79946844,0.62026308,-122.636,38.72,-122.722,38.7881,6.125565807389653,138.0,138 kV
90544,2020037,2021011,233.66,138.0,22.96099723580921,5.500288080000001,1.0794139200000001,-122.636,38.72,-122.76,38.5379,5.0956198381990125,138.0,138 kV
90545,2020037,2021047,206.38,138.0,28.12342676630288,14.3010918,2.82251124,-122.636,38.72,-122.523,38.4833,5.066795317068315,138.0,138 kV
90546,2020038,2020039,0.01,138.0,0.0,0.19824804000000001,0.03884976,-122.506,41.3756,-122.506,41.3756,5.102809829202827,138.0,138 kV
90547,2020047,2020038,171.83,138.0,19.97580917924575,10.72234332,1.75185756,-122.306,41.2774,-122.506,41.3756,6.120553088486779,138.0,138 kV
90548,2020040,2020041,0.01,138.0,0.0,0.21386412,0.054656279999999995,-122.446,40.5117,-122.446,40.5117,3.9128203964778345,138.0,138 kV
90549,2020040,2020051,219.62,138.0,8.074916679911349,4.49514576,0.7638548399999999,-122.446,40.5117,-122.398,40.5744,5.884809049833278,138.0,138 kV
90550,2020040,2020498,187.0,138.0,2.007304587605537,1.26395028,0.19044,-122.446,40.5117,-122.423,40.5073,6.636965149311335,138.0,138 kV
90551,2020042,2020051,212.49,138.0,2.1865623363124844,1.90040076,0.26147412000000003,-122.41,40.5918,-122.398,40.5744,7.267998423712359,138.0,138 kV
90552,2020059,2020042,179.25,138.0,14.067487720479267,6.20605872,1.08227052,-122.291,40.6802,-122.41,40.5918,5.734289968195782,138.0,138 kV
90553,2020043,2020045,237.83,138.0,24.221694305421426,5.93334864,1.13464152,-122.465,40.36,-122.482,40.1428,5.229266958900854,138.0,138 kV
90554,2020348,2020043,260.1,138.0,17.506555820549238,5.00533452,0.7941348,-122.279,40.4283,-122.465,40.36,6.302869761066054,138.0,138 kV
90555,2020044,2020045,0.01,138.0,0.0,0.19196352,0.04684824,-122.482,40.1428,-122.482,40.1428,4.097473512910775,138.0,138 kV
90556,2020056,2020045,222.5,138.0,30.375552314527837,16.93640052,3.16282752,-122.366,39.8848,-122.482,40.1428,5.35482730502253,138.0,138 kV
90557,2020046,2020052,238.78,138.0,26.95013689180301,9.624266279999999,1.5298045200000001,-122.369,40.2226,-122.378,40.4646,6.291169795229918,138.0,138 kV
90558,2020046,2020529,223.46,138.0,16.31129197043845,7.33879584,1.6634934,-122.369,40.2226,-122.201,40.1519,4.411674508793057,138.0,138 kV
90559,2020047,2020292,179.82,138.0,59.6388072672768,6.977150280000001,1.25480916,-122.306,41.2774,-121.804,40.8981,5.560323387882037,138.0,138 kV
90560,2020048,2020049,0.01,138.0,0.0,0.22110083999999997,0.05199012000000001,-122.344,41.6615,-122.344,41.6615,4.252665455177729,138.0,138 kV
90561,2020050,2020051,0.01,138.0,0.0,0.19082088000000003,0.03846888,-122.398,40.5744,-122.398,40.5744,4.960267097271944,138.0,138 kV
90562,2020051,2020462,267.04,138.0,5.82144710965434,2.15844696,0.34336331999999997,-122.398,40.5744,-122.446,40.6119,6.286171376222201,138.0,138 kV
90563,2020052,2020054,226.28,138.0,6.583023684685953,2.54865852,0.52047252,-122.378,40.4646,-122.323,40.5064,4.89680727657384,138.0,138 kV
90564,2020498,2020052,226.27,138.0,6.091800983759699,2.80003932,0.6246432,-122.423,40.5073,-122.378,40.4646,4.482614774939078,138.0,138 kV
90565,2020053,2020070,248.18,138.0,63.13945414250783,7.24224276,1.37707164,-122.355,39.0748,-121.776,38.7303,5.259158122551908,138.0,138 kV
90566,2020298,2020053,256.66,138.0,33.24560448637703,10.69092072,2.00419056,-122.27,39.3661,-122.355,39.0748,5.334280880815603,138.0,138 kV
90567,2020054,2020055,0.01,138.0,0.0,0.21976776,0.04399164,-122.323,40.5064,-122.323,40.5064,4.995557438698837,138.0,138 kV
90568,2020348,2020054,188.07,138.0,9.458965589251587,4.08436668,0.59303016,-122.279,40.4283,-122.323,40.5064,6.887271623298849,138.0,138 kV
90569,2020054,2020389,238.91,138.0,24.94435461490594,6.53704344,1.39154508,-122.323,40.5064,-122.422,40.7175,4.697683773432785,138.0,138 kV
